Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dustin Poirier,5Dimes,1550946435000,+170,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1550946610000,+200,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1550946790000,+175,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1550968214000,+185,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1550970547000,+220,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1550993589000,+210,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1550993951000,+190,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551046342000,+200,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551273127000,+215,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551384012000,+240,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551384194000,+240,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551403631000,+245,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551430448000,+225,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551755168000,+215,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551755347000,+210,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1551895931000,+220,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1552085471000,+235,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1552087632000,+225,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1552940288000,+240,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1552991409000,+215,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1553456168000,+220,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1553690170000,+210,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1553915531000,+215,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1554048368000,+205,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1554048554000,+200,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
Dustin Poirier,5Dimes,1554125412000,+185,Dustin Poirier,Max Holloway,even,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
