Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chan Sung Jung,5Dimes,1371752110000,+335,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1371752465000,+400,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1371753006000,+450,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1371759487000,+350,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1371762189000,+370,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1371846249000,+400,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1371960729000,+425,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1372298587000,+450,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1372918206000,+475,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1373064363000,+485,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1373392819000,+470,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1373472190000,+500,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1373639768000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1374848313000,+500,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375208289000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375270209000,+525,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375296320000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375386850000,+625,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375454890000,+600,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375554249000,+635,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375568652000,+650,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375569204000,+675,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375573870000,+750,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,5Dimes,1375582869000,+685,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1374971961000,+465,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375026138000,+475,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375204152000,+450,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375208833000,+475,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375300095000,+525,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375305851000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375407012000,+525,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375474872000,+600,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375543085000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375559832000,+525,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375569741000,+625,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375574955000,+680,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375583952000,+625,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BetDSI,1375588458000,+650,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1374971778000,+475,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375299916000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375396932000,+560,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375407013000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375474873000,+600,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375475054000,+550,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375570455000,+650,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
Chan Sung Jung,BookMaker,1375574957000,+715,Chan Sung Jung,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
