Bet,betsite,dates,odds,fighter1,fighter2,class,url
Carlos Condit,5Dimes,1236007805000,-195,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236008706000,-170,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236049206000,-140,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236079805000,-135,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236133808000,-130,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236429911000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236723309000,+105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236768306000,-110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1236910507000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1237155312000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1237234507000,+105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1237240811000,-110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1237265111000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1238060707000,-110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1238523307000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1238581807000,+105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1238622312000,+108,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,5Dimes,1238625909000,+115,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1236113115000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1236382214000,-110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1236492912000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1236645009000,-110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1236911412000,+105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1237901410000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1238385619000,+110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1238455815000,-105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1238458512000,-103,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1238619619000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1238632214000,-105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,BookMaker,1238636712000,+105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,SportBet,1237308937000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,SportBet,1237815040000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,SportBet,1238595357000,-105,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,SportBet,1238602558000,+100,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1236119410000,-115,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1236634212000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1236699008000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1238551211000,-125,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1238604326000,-120,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1238615109000,-115,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
Carlos Condit,Bovada,1238627710000,-110,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
