Bet,betsite,dates,odds,fighter1,fighter2,class,url
Bethe Correia,5Dimes,1494892806000,+250,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1494941046000,+285,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1494959047000,+310,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1495147870000,+375,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1496241912000,+400,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497126245000,+450,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497331985000,+460,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497460867000,+450,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497534847000,+425,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497584347000,+450,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497615127000,+475,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497624667000,+450,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497684787000,+460,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,5Dimes,1497707825000,+435,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496084407000,+345,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496298787000,+360,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496338568000,+377,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496363228000,+393,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496463488000,+399,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496465109000,+415,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496538188000,+418,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496538727000,+422,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
Bethe Correia,BetDSI,1496543407000,+428,Bethe Correia,Holly Holm,even,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
