Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Pettis,5Dimes,1420338964000,-350,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1420651090000,-350,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1420677907000,-325,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1421703007000,-350,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1422200167000,-370,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1422370807000,-400,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1423087568000,-440,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1423261448000,-420,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1425335406000,-430,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1425506951000,-440,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1425822666000,-450,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1426109227000,-470,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1426283108000,-485,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1426355826000,-525,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1426393264000,-480,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1426393445000,-460,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,5Dimes,1426393804000,-450,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425187625000,-420,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425265384000,-462,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425265564000,-425,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425409747000,-415,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425636187000,-416,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425648068000,-415,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425932827000,-425,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425933009000,-415,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1425933189000,-425,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426261869000,-455,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426336388000,-490,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426357267000,-500,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426357448000,-495,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426357627000,-500,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426374546000,-515,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426378328000,-485,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426383187000,-520,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426394345000,-497,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BetDSI,1426394705000,-475,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425187445000,-420,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425264845000,-462,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425265925000,-425,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425410286000,-415,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425636187000,-416,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425648249000,-415,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1425933010000,-425,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426261869000,-455,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426337109000,-490,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426357267000,-495,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426357448000,-500,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426374726000,-515,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426378508000,-485,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426383367000,-520,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426394345000,-497,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426394706000,-475,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,BookMaker,1426394885000,-478,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,SportBet,1420338968000,-335,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,SportBet,1420651091000,-337,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,SportBet,1420677908000,-314,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
Anthony Pettis,SportBet,1421703008000,-337,Anthony Pettis,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
